"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ACC","EQ","27-Sep-2016","       1610.95","       1612.30","       1624.00","       1604.00","       1608.00","       1608.40","       1613.29","     148821","           240092091.75","       9676"
"ACC","EQ","28-Sep-2016","       1608.40","       1605.00","       1623.00","       1603.00","       1613.25","       1616.15","       1613.67","     123374","           199085299.95","       9000"
"ACC","EQ","29-Sep-2016","       1616.15","       1620.00","       1627.40","       1577.35","       1601.00","       1588.40","       1600.47","     718082","          1149269941.00","      27506"
"ACC","EQ","30-Sep-2016","       1588.40","       1576.25","       1611.85","       1576.25","       1611.85","       1599.85","       1596.47","     155560","           248346491.20","      12815"
"ACC","EQ","03-Oct-2016","       1599.85","       1615.00","       1639.00","       1605.00","       1633.60","       1631.95","       1624.46","     151874","           246713578.00","      13700"
"ACC","EQ","04-Oct-2016","       1631.95","       1633.70","       1643.40","       1622.00","       1635.55","       1637.10","       1634.38","     354672","           579668713.25","      27811"
"ACC","EQ","05-Oct-2016","       1637.10","       1640.00","       1647.90","       1622.50","       1633.20","       1638.00","       1633.84","     264589","           432296889.30","      18983"
"ACC","EQ","06-Oct-2016","       1638.00","       1642.00","       1653.00","       1619.20","       1625.10","       1629.75","       1628.31","     252352","           410907139.50","      13205"
"ACC","EQ","07-Oct-2016","       1629.75","       1628.90","       1630.70","       1608.50","       1623.10","       1625.40","       1617.70","     262250","           424241322.95","      12443"
"ACC","EQ","10-Oct-2016","       1625.40","       1628.80","       1674.00","       1623.80","       1667.00","       1668.50","       1663.62","     420386","           699361977.55","      15365"
"ACC","EQ","13-Oct-2016","       1668.50","       1660.00","       1660.00","       1622.45","       1630.05","       1632.05","       1642.21","     216022","           354753790.40","      16808"
"ACC","EQ","14-Oct-2016","       1632.05","       1636.00","       1651.00","       1630.05","       1637.35","       1640.25","       1640.72","     182239","           299002512.55","       9445"
"ACC","EQ","17-Oct-2016","       1640.25","       1641.00","       1644.90","       1598.20","       1602.50","       1604.70","       1616.34","     326387","           527551819.15","      17573"
"ACC","EQ","18-Oct-2016","       1604.70","       1607.00","       1618.00","       1590.50","       1616.00","       1616.00","       1608.03","     295645","           475405212.20","      14739"
"ACC","EQ","19-Oct-2016","       1616.00","       1619.80","       1627.00","       1606.40","       1609.25","       1610.55","       1616.04","     158539","           256205176.65","       6479"
"ACC","EQ","20-Oct-2016","       1610.55","       1620.00","       1627.80","       1604.80","       1606.70","       1609.45","       1614.06","     145915","           235515417.90","      10415"
"ACC","EQ","21-Oct-2016","       1609.45","       1612.00","       1614.00","       1541.85","       1574.00","       1566.15","       1565.03","    1607644","          2516014170.35","      45458"
"ACC","EQ","24-Oct-2016","       1566.15","       1560.20","       1586.70","       1551.25","       1563.20","       1565.90","       1565.36","     337777","           528742070.80","      13054"
"ACC","EQ","25-Oct-2016","       1565.90","       1568.00","       1568.00","       1547.60","       1554.90","       1551.65","       1553.64","     210532","           327090257.75","      14923"
"ACC","EQ","26-Oct-2016","       1551.65","       1546.35","       1549.00","       1535.00","       1542.00","       1543.00","       1543.54","     182378","           281507010.35","       8794"
"ACC","EQ","27-Oct-2016","       1543.00","       1540.00","       1545.60","       1514.10","       1529.00","       1525.00","       1524.78","     454542","           693077958.00","      11780"
"ACC","EQ","28-Oct-2016","       1525.00","       1526.65","       1532.00","       1508.60","       1513.85","       1516.70","       1517.32","     143281","           217402706.35","       6887"
"ACC","EQ","30-Oct-2016","       1516.70","       1519.70","       1527.45","       1515.00","       1518.45","       1517.75","       1520.92","      36562","            55607997.45","       2256"
"ACC","EQ","01-Nov-2016","       1517.75","       1514.70","       1528.70","       1499.00","       1504.00","       1503.85","       1512.58","     227928","           344758771.10","      14521"
"ACC","EQ","02-Nov-2016","       1503.85","       1483.00","       1512.00","       1483.00","       1490.00","       1488.15","       1496.91","     192484","           288130918.70","      13314"
